"","value"
"112","(1991-06-28)28 June 1991 (aged 29)"
"113","(1997-05-07)7 May 1997 (aged 24)"
"114","(1993-05-13)13 May 1993 (aged 28)"
"115","(1991-01-07)7 January 1991 (aged 30)"
"116","(1993-09-04)4 September 1993 (aged 27)"
"117","(1988-03-06)6 March 1988 (aged 33)"
"118","(1992-02-26)26 February 1992 (aged 29)"
"119","(1987-05-06)6 May 1987 (aged 34)"
"120","(1991-09-12)12 September 1991 (aged 29)"
"121","(1993-03-29)29 March 1993 (aged 28)"
"122","(1992-08-24)24 August 1992 (aged 28)"
"123","(1995-06-28)28 June 1995 (aged 25)"
"124","(1995-04-15)15 April 1995 (aged 26)"
"125","(1990-12-03)3 December 1990 (aged 30)"
"126","(1995-12-05)5 December 1995 (aged 25)"
"127","(1989-08-02)2 August 1989 (aged 31)"
"128","(1993-10-02)2 October 1993 (aged 27)"
"129","(1994-12-04)4 December 1994 (aged 26)"
"130","(2002-05-27)27 May 2002 (aged 19)"
"131","(1994-05-14)14 May 1994 (aged 27)"
"132","(1986-11-05)5 November 1986 (aged 34)"
"133","(1996-05-31)31 May 1996 (aged 25)"
"134","(1992-08-03)3 August 1992 (aged 28)"
"135","(1989-03-26)26 March 1989 (aged 32)"
"136","(1997-05-20)20 May 1997 (aged 24)"
"137","(1996-04-10)10 April 1996 (aged 25)"
"138","(1996-05-20)20 May 1996 (aged 25)"
"139","(1991-09-03)3 September 1991 (aged 29)"
"140","(1991-06-05)5 June 1991 (aged 30)"
"141","(1992-02-14)14 February 1992 (aged 29)"
"142","(1999-12-29)29 December 1999 (aged 21)"
"143","(1997-10-06)6 October 1997 (aged 23)"
"144","(1990-04-23)23 April 1990 (aged 31)"
"145","(2000-07-03)3 July 2000 (aged 20)"
"146","(1994-03-10)10 March 1994 (aged 27)"
"147","(1989-02-01)1 February 1989 (aged 32)"
"148","(1991-02-21)21 February 1991 (aged 30)"
"149","(1989-05-31)31 May 1989 (aged 32)"
"150","(1999-02-07)7 February 1999 (aged 22)"
"151","(1994-06-15)15 June 1994 (aged 26)"
"152","(1993-03-16)16 March 1993 (aged 28)"
